product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Epson Expression Home XP-342","Print al je facturen en documenten uit met de Epson Expression Home XP-342. Met een afdrukresolutie van 5760 x 1440 dpi print je ook jouw foto's in hoge kwaliteit af. Scannen en kopiëren in kleur is ook mogelijk. En heb je geen pc bij de hand, gebruik het kleurenscherm op de printer en print je opdrachten direct vanaf een sd kaart. Deze XP-342 ondersteunt Apple Airprint en Google Cloud print. Dankzij deze 2 diensten liggen je documenten namelijk klaar als je het onderweg uitprint.","49,99","Epson","C11CF31403","All-in-one","Inkjet","A4","5760 x 1440","10 ppm","4,5 ppm","None","39 cm x 30 cm x 14,6 cm","4,3 kg"
Inkjetprinters,"HP ENVY 5640 All-in-One","De HP ENVY 5640 is een All-in-One fotoprinter voor thuis. Print je reisfoto's, selfies en ander beeldmateriaal gedetailleerd uit dankzij de hoge afdrukresolutie van 1.200 bij 4.800. Bovendien doet de printer dit zonder witte stroken, waardoor je papier bedekt is van rand tot rand. Printopdrachten versturen is een fluitje van een cent. Met de HP ePrint app kun je al binnen een paar minuten foto's en documenten printen vanaf je smartphone of tablet. Druk rapporten, e-mails of andere documenten met veel pagina's automatisch dubbelzijdig af waardoor je papier bespaart. Daarnaast is de printer eenvoudig te delen via wifi.","79,-","HP","B9S59A","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,128 GB","45,4 cm x 41 cm x 16,1 cm","6,82 kg"
Laserprinters,"HP Color LaserJet Pro MFP M277dw","De HP Color LaserJet Pro MFP M277dw is een all-in-one voor werkgroepen tot 10 personen. Diverse functies maken deze printer geschikt voor zakelijk gebruik. Zo print je automatisch dubbelzijdig, en print je tot een snelheid van 18 pagina's per minuut. Wil je liever niet dat anderen je printopdracht te zien krijgen? Met behulp van een pincode kun je jouw printopdrachten vergrendelen, totdat je zelf bij de printer bent.","277,-","HP","B3Q11A","All-in-one","Laser","A4","600 x 600","18 ppm","18 ppm","0,256 GB","42 cm x 41,7 cm x 32,2 cm","16,3 kg"
Inkjetprinters,"Canon PIXMA iP7250","De Canon PIXMA iP7250 is een compact vormgegeven document- en fotoprinter voor thuisgebruikers. De printer is voorzien van een draadloze netwerkaansluiting, waardoor je printopdrachten kunt versturen vanaf een smartphone of tablet. Om de productiviteit te verhogen en kosten te besparen beschikt de iP7250 over een geïntegreerde duplexmodule, waarmee je automatisch dubbelzijdig kan afdrukken. Bovendien is er een extra lade aanwezig om direct in kleur op CD, DVD of Blu-ray af te drukken.","67,99","Canon","6219B006","Alléén printen","Inkjet","A4","9600 x 2400","15 ppm","10 ppm","None","45,1 cm x 36,8 cm x 12,8 cm","6,6 kg"
Inkjetprinters,"HP ENVY 7640 All-in-One","De HP ENVY 7640 is een All-in-One printer voor thuisgebruik. De ENVY 7640 is ontworpen om te gebruiken in combinatie met draadloze randapparatuur zoals tablets, smartphones en/of laptops. Met de ePrint app kun je overal ter wereld je printer beheren, of je beheert de printer eenvoudig via het 8,9 cm grote touchscreen. Dankzij de optie dubbelzijdig te printen en de automatische documentinvoer werkt de printer eenvoudig en snel. De printer is daarnaast ook geschikt om af en toe foto's af te drukken.","139,-","HP","E4W47A","All-in-one","Inkjet","A4","4800 x 1200","14 ppm","9 ppm","0,128 GB","45,4 cm x 41 cm x 19,3 cm","7,67 kg"
Inkjetprinters,"HP OfficeJet Pro 6960 e-All-in-One (J7K33A)","De HP OfficeJet Pro 6960 e-All-in-One (J7K33A) is een printer, scanner, fax- en kopieerapparaat in één voor op een klein kantoor. Dankzij 3 maanden gratis HP Instant Ink ben je direct voorzien van inkt. Selecteer je scan- kopieer-, fax- en printinstellingen op het grote touchscreen, of op afstand via wifi. De printer print automatisch dubbelzijdig, daardoor benut je beide kanten van het papier. Met de automatische documenteninvoer (ADF) scan en kopieer je tot 35 documenten in één keer. Fragiele documenten scan je in via de ingebouwde flatbedscanner.","109,99","HP","T0F32A#BHC","All-in-one","Inkjet","A4","1200 x 600","18 ppm","10 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","8,05 kg"
Inkjetprinters,"HP OfficeJet Pro 6970 e-All-in-One (J7K34A)","De HP OfficeJet Pro 6970 e-All-in-One (J7K34A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen op het grote touchscreen, of op afstand via wifi. De printer print automatisch dubbelzijdig en heeft een dubbelzijdige automatische documenteninvoer (DADF). Daardoor scan en kopieer je tot 35 documenten in één moeite dubbelzijdig en benut je beide kanten van het papier. Fragiele documenten scan je in via de ingebouwde flatbedscanner.","119,99","HP","T0F33A#BHC","All-in-one","Inkjet","A4","1200 x 600","20 ppm","11 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","8,1 kg"
Inkjetprinters,"Canon PIXMA MG3650 Zwart","Met de Canon PIXMA MG3650 print je zowel dubbelzijdige documenten als haarscherpe foto's draadloos vanaf je pc, laptop, smartphone of tablet. Download de Canon PRINT app en je kunt direct kopiëren, scannen en printen vanaf het gewenste apparaat. De printer is ook geschikt om te printen via applicaties zoals Flickr, Instagram en Facebook. Wil je besparen op je printkosten? De MG3650 werkt ook met XL cartridges waardoor je voordeliger print.","49,-","Canon","0515C006","All-in-one","Inkjet","A4","4800 x 1200","10 ppm","6 ppm","None","44,9 cm x 30,4 cm x 15,2 cm","5,4 kg"
Inkjetprinters,"Epson Expression Premium XP-830","Met de Epson Expression Premium XP-830 print je haarscherpe foto's. Fijn als je die ene vakantieherinnering tastbaar wil maken. Printopdrachten verstuur je draadloos vanaf je smartphone, tablet of pc. Scan of kopiëer je regelmatig documenten? Leg de te scannen documenten in de automatische documentinvoer (ADF) en de printer digitaliseert je documenten automatisch.","143,99","Epson","C11CE78402","All-in-one","Inkjet","A4","5760 x 1440","14 ppm","11 ppm","None","39 cm x 33,9 cm x 19,1 cm","6,9 kg"
Inkjetprinters,"Canon PIXMA MX925","De Canon PIXMA MX925 kan printen, scannen, kopiëren en faxen. Print rechtstreeks vanaf je pc, laptop, tablet of smartphone via wifi. De printresolutie van 9600 x 2400 maakt deze All-in-One geschikt om foto's af te drukken. De MX925 heeft direct toegang tot het web, zodat je foto's rechtstreeks uit je online albums kunt printen. Met de automatische documentinvoer scan, kopieer of fax tot 35 vel per keer dubbelzijdig.","119,-","Canon","6992B009","All-in-one","Inkjet","A4","9600 x 2400","12,5 ppm","10 ppm","None","49,1 cm x 39,6 cm x 23,1 cm","11,7 kg"
Inkjetprinters,"HP OfficeJet Pro 8715 e-All-in-One (J6X76A)","De HP OfficeJet Pro 8715 e-All-in-One (J6X76A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen op het grote touchscreen, of op afstand via wifi. De printer print automatisch dubbelzijdig en heeft een dubbelzijdige automatische documenteninvoer (DADF). Daardoor scan en kopieer je tot 50 documenten in één moeite dubbelzijdig en benut je beide kanten van het papier. Fragiele documenten scan je in via de ingebouwde flatbedscanner.","169,-","HP","K7S37A#BHC","All-in-one","Inkjet","A4","1200 x 1200","22 ppm","18 ppm","0,128 GB","49,95 cm x 40,48 cm x 33,91 cm","11,54 kg"
Laserprinters,"Brother DCP-L2520DW","De Brother DCP-L2520DW is ontwikkeld om het printen, scannen en kopiëren eenvoudig en snel te maken. Dit blijkt uit de indrukwekkende eigenschappen. Met een printsnelheid tot 26 pagina's per minuut en de optie automatisch dubbelzijdig te printen, hoef je nooit lang te wachten op jouw prints. Daarnaast bespaar je ook nog eens papier. Kopieer en/of scan je vaak documenten? Ook dat is geen enkel probleem. Het scannen gaat in hoge resolutie en het kopiëren gaat met 26 pagina's per minuut. Dit alles stuur je eenvoudig aan via de bijgeleverde software. De printer is compact en past op ieder bureau. Daarmee is deze printer een goede keus voor iedereen die vaak documenten print en geen behoefte heeft aan kleurenprints. De L2520DW beschikt over Wireless zodat je draadloos printopdrachten kan versturen.

De juiste toners voor deze printer","149,-","Brother","DCP-L2520DW","All-in-one","Laser","A4","2400 x 600","26 ppm","None","None","40,9 cm x 39,85 cm x 26,7 cm","11,4 kg"
Inkjetprinters,"HP OfficeJet Pro 7740 All-in-One (G5J38A)","Zet deze HP OfficeJet Pro 7740 All-in-One (G5J38A) in een klein kantoor en je print, scant kopiëert en faxt met één apparaat. Druk documenten uit met 22 pagina's per minuut of print automatisch dubbelzijdig en bespaar op het papiergebruik. Onderweg naar kantoor kom je erachter dat je handouts bent vergeten uit te printen? Voer de printtaak uit met de HP Printer Remote app en je printjes staan klaar wanneer je aankomt. Gebruik het 2,65 inch kleuren touchscreen op de HP 7740 om printopdrachten te geven zonder tussenkomst van een pc. En met twee papierlades van elke 250 vellen hoef je minder vaak papier bij te vullen.","199,-","HP","G5J38A","All-in-one","Inkjet","A3","4800 x 1200","22 ppm","18 ppm","0,512 GB","58,4 cm x 46,7 cm x 38,3 cm","19,5 kg"
Laserprinters,"Samsung Xpress SL-C480W","Met de Samsung Xpress SL-C480W hoef jij nooit lang te wachten op jouw printjes. De printer heeft NFC en wifi, zodat jij eenvoudig draadloos opdrachten naar je printer verstuurt vanaf je smartphone of tablet. De kwaliteit van tekstdocumenten is zeer goed: dankzij de hoge printresolutie zijn zelfs kleine lettertypen goed leesbaar. Scan je documenten via de flatbed scanner.","249,-","Samsung","SL-C480W/SEE","All-in-one","Laser","A4","2400 x 600","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Inkjetprinters,"Epson WorkForce WF-100W","Met de Epson WorkForce WF-100W kun je altijd en overal dat belangrijke document printen. Met de ingebouwde accu en de mogelijkheid smartphones, tablets en pc's via wifi met de printer te verbinden, heb je geen kabels meer nodig. Dit maakt deze mobiele printer zeer geschikt voor het printen van contracten of andere belangrijke zakelijke informatie.","199,-","Epson","C11CE05402","Alléén printen","Inkjet","A4","5760 x 1440","7 ppm","4 ppm","None","30,9 cm x 15,4 cm x 6,1 cm","1,6 kg"
Labelprinters,"DYMO LetraTag LT-100H","Met de DYMO LetraTag LT-100H labelprinter print je eenvoudig zelfklevende labels voor het labelen van je CD's, kleding of al het andere wat je wilt labelen. Het grafische display van deze labelprinter toont exact hetgeen je gaat printen op de 12 mm LetraTag tape. Door de ergonomische vormgeving ligt de DYMO LetraTag prettig in de hand.  De machine  beschikt over een ABCD-toetsenbord en is hierdoor eenvoudig in gebruik. Kies bij het maken van je label uit  5 tekststijlen, 5 tekengroottes en 8 kaders. Al deze mogelijkheden zorgen ervoor dat de label precies wordt zoals jij wilt.","29,99","Dymo","S0883980","None","None","None","160","None","None","None","9,5 cm x 21,5 cm x 6,5 cm","0,28 kg"
Inkjetprinters,"Brother MFC-J4620DW","De Brother MFC-J4620DW is een all-in-one A3 printer. Met een afmeting van 48 x 29 x 18,8 cm is deze printer écht compact. Met de mogelijkheid vanaf je smartphone, usb-stick, tablet of pc opdrachten te versturen het flexibel centrum van jouw (thuis)kantoor. Dankzij het touchscreen en de automatische documentinvoer is de printer ook makkelijk te gebruiken als je geen printofiel bent. De lage kosten per pagina maken het kopen van nieuwe cartridges een stuk minder pijnlijk.","179,-","Brother","MFC-J4620DW","All-in-one","Inkjet","A3","6000 x 1200","22 ppm","20 ppm","0,128 GB","48 cm x 29 cm x 18,8 cm","6,2 kg"
Inkjetprinters,"Brother MFC-J5730DW","Print posters en banners op A3 formaat met de Brother MFC-J5730DW all-in-one. Hierdoor is hij geschikt voor een (kleine) printshop. Win tijd door automatisch dubbelzijdig te scannen en kopiëren. Je netwerkbeheerder ontvangt mailtjes van de printer zodra het papier of de cartridge bijna op is. Zo zorg je ervoor dat je printer altijd te gebruiken is. Gebruik het 9,3 cm grote kleuren touchscherm om print- of scaninstellingen aan te passen zonder tussenkomst van je pc. Maak direct verbinding met de printer dankzij wifi direct en stuur je printjes op korte afstand. Hierdoor druk je toch je printjes af zonder in te loggen op het wifi netwerk. Bespaar papier door automatisch dubbelzijdig te printen. En met twee papierladen van ieder 250 vellen vul je minder vaak papier bij.","199,-","Brother","MFC-J5730DW","All-in-one","Inkjet","A3","4800 x 1200","35 ppm","27 ppm","0,256 GB","53 cm x 39,8 cm x 37,4 cm","20,6 kg"
Laserprinters,"HP LaserJet Pro MFP M130nw","Met deze HP LaserJet Pro MFP M130nw laserprinter op je (thuis)kantoor druk je al je opdrachten of aantekeningen eenvoudig af in zwart-wit. Dit gebeurt met een snelheid van 22 pagina's per minuut. Verstuur je printtaken draadloos via het wifi netwerk. Of maak direct draadloos contact met de printer met je smartphone of tablet door middel van wifi direct. Met een oppervlakte zo groot als een houten snijplank is de printer te plaatsen op krappe werkplekken. Zodra je drukt op de printknop, gaat de printer meteen aan door de HP Auto-On/Auto-Off functie. De toner is voorgeïnstalleerd, dus sluit de printer aan via usb, netwerkkabel of wifi en je print vrijwel direct.","129,99","HP","G3Q58A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,256 GB","39,8 cm x 28,8 cm x 23,11 cm","6,8 kg"
Inkjetprinters,"Brother DCP-J4120DW","De Brother DCP-J4120DW is een compacte all-in-one A3 printer. Met een afmeting van 48 x 29 x 16,3 cm is hij écht compact. Met de mogelijkheid vanaf smartphone, usb-stick, tablet of pc opdrachten te versturen, is deze printer niet alleen een compact, maar ook een flexibel centrum van jouw (thuis)kantoor. Dankzij het touchscreen is de printer ook makkelijk te gebruiken als je geen printofiel bent, en met de lage kosten per pagina is het kopen van nieuwe cartridges een stuk minder pijnlijk.","129,-","Brother","DCP-J4120DW","All-in-one","Inkjet","A3","6000 x 1200","20 ppm","18 ppm","0,128 GB","48 cm x 29 cm x 16,3 cm","8,1 kg"
Inkjetprinters,"Canon PIXMA MG5751","De Canon PIXMA MG5751 is een wifi printer voor thuis. De printer is geschikt voor Cloud Print en AirPrint, zodat je ook vanaf je smartphone en tablet print. Dankzij de hoge printresolutie en 5 losse cartridges, zijn je prints haarscherp én bespaar je op je inktkosten. Je hoeft namelijk alleen de kleurencartridge te vervangen die leeg is. Scannen en kopiëren doe je direct via het scherm aan de voorkant.","69,99","Canon","0557C026AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Inkjetprinters,"HP Deskjet 3638 All-in-One","De HP Deskjet 3638 All-in-One inkjetprinter neem je als je af en toe thuis een documentje of afbeelding print, scant of kopieert. Verstuur je printjes draadloos via het netwerk. Of verbind je smartphone of tablet direct met de printer, zonder verbonden te zijn met een draadloos netwerk. Je drukt daarnaast al je vliegtickets of foto's randloos af. Werk jij tot in de late uurtjes aan projecten en moet je deze nog afdrukken? Zet de printer in de 'Stille modus' en druk alles af zonder dat je het huishouden wakker maakt. Verder neemt de printer met zijn oppervlak van 43 bij 31 cm, minder ruimte in op je bureau.","49,-","HP","K4U02B","All-in-one","Inkjet","A4","4800 x 1200","8,5 ppm","6 ppm","None","43,8 cm x 31 cm x 15,8 cm","4,17 kg"
Inkjetprinters,"Epson WorkForce WF-2630WF","De Epson WorkForce WF-2630WF is een printer, scanner, kopieerapparaat en fax in 1. Doordat hij compact is, bespaar je ruimte op je bureau. Met de Epson Connect app kun je makkelijk vanaf smartphone, tablet of pc printopdrachten naar de printer versturen. Gemakkelijk wanneer je met meerdere mensen gebruik wilt maken van deze printer. Doordat de WF-2630WF over een automatische documentinvoer voor 30 pagina's (ADF) beschikt, scan en kopieer je snel alle gewenste documenten. Deze WorkForce is dus een goede keus voor de thuisgebruiker die gemiddeld minder dan 10 pagina's per dag print, maar de printer wel vanaf verschillende apparaten wil kunnen bedienen.","84,-","Epson","C11CE36402","All-in-one","Inkjet","A4","1440 x 5760","9 ppm","4,7 ppm","None","38,1 cm x 35,56 cm x 20,32 cm","5,44 kg"
Inkjetprinters,"Canon PIXMA TS8050 Zwart","Zet deze Canon PIXMA TS8050 Zwart thuis op je bureau en verstuur draadloos via wifi al je printopdrachten. Heb je een Android smartphone met NFC? Geef je printer dan een 'tikje' met je telefoon en hij verstuurt je printopdracht. Scan en kopieer je foto's in en druk deze randloos af op een hoge resolutie van 9600 x 2400 dpi. Geen laptop bij de hand? Stop je SD kaart in de TS8050 en gebruik het 4,3 inch grote kleuren touchscreen om je foto's af te drukken of documenten in te scannen. Verder bespaar je kosten door automatisch dubbelzijdig af te drukken en dankzij de 6 afzonderlijke cartridges vervang je gemakkelijk alleen de cartridge die daadwerkelijk leeg is.","143,99","Canon","1369C006","All-in-one","Inkjet","A4","9600 x 2400","15 ppm","10 ppm","None","37,2 cm x 32,4 cm x 13,9 cm","6,5 kg"
Inkjetprinters,"HP OfficeJet 6950 e-All-in-One","De HP OfficeJet 6950 e-All-in-One is een uitgebreide inkjet printer voor (thuis)kantoren. Voer meerdere taken uit zoals scannen, kopiëren en printen op hoge 4.800 bij 1.200 printresolutie. 
Bovendien verstuur je zo via wifi een printopdracht vanaf je telefoon of tablet, je prints liggen dan automatisch voor je klaar. Daarnaast print je tot 35 pagina's achter elkaar dankzij de automatische printinvoer en dubbelzijdig printen. Doordat deze printer aparte kleurencartridges heeft, vervang je alleen de cartridges die leeg is. Via het 5,5 cm grote scherm pas je direct wat instellingen aan zodat je prints naar jouw wens zijn. Bovendien zit je gedurende 3 maanden niet zonder inkt, dankzij de HP Instant Ink proefperiode.","109,-","HP","P4C85A#BHC","All-in-one","Inkjet","A4","4800 x 1200","16 ppm","9 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","7,7 kg"
Inkjetprinters,"HP OfficeJet 7510 All-in-One","Print documenten tot A3 formaat vanaf je smartphone, tablet of pc met de HP OfficeJet 7510 All-in-One. Scan, kopieer of fax meerdere documenten in 1 keer in de automatische documentinvoer (ADF). Verstuur een fotoalbum of poster vanaf je smartphone via HP ePrint of Apple AirPrint direct naar de printer. Je deelt de printer binnen je netwerk, zo stuurt iedereen in huis zijn printopdrachten rechtstreeks door.","129,-","HP","G3J47A","All-in-one","Inkjet","A3","4800 x 1200","15 ppm","8 ppm","0,256 GB","61,3 cm x 48,3 cm x 36,6 cm","13,02 kg"
Inkjetprinters,"Brother DCP-J562DW","","95,-","Brother","DCP-J562DW","All-in-one","Inkjet","A4","6000 x 1200","10 ppm","10 ppm","0,128 GB","40 cm x 34,1 cm x 15,5 cm","8,8 kg"
Inkjetprinters,"HP OfficeJet Pro 8720 e-All-in-One (D9L19A)","De HP OfficeJet Pro 8710 e-All-in-One (D9L18A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen zonder tussenkomst van een pc op het 11 cm grote touchscreen. Verbind je laptop of mobiel via wifi en print automatisch dubbelzijdig en benut je beide kanten van het papier. Dankzij de dubbelzijdige automatische documenteninvoer (DADF) scan en kopieer je tot 50 documenten in één moeite dubbelzijdig. Scan kwetsbare documenten in met de ingebouwde flatbedscanner.","199,-","HP","D9L19A#A80","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Inkjetprinters,"Canon PIXMA MG3051 Wit","Zet deze Canon PIXMA MG3051 thuis op je bureau en verstuur draadloos via wifi al je printopdrachten en print al je foto's of facturen. Daarnaast print je ook al je documenten of foto's vanuit de cloud of je social media accounts. Mocht je niet in de buurt zijn van een wifi netwerk, dan is dat geen probleem. Start de Canon Print app op op je smartphone of tablet en maak via de 'Access Point-modus' verbinding met de printer. Zo heb je geen excuus meer om niet dat ene concertkaartje uit te printen voor je vrienden. Verder springt de printer uit zichzelf aan vanuit de energiebesparingsstand door middel van de 'Auto Power On' functie. Je print dus direct zonder dat je de printer handmatig aan moet zetten.","49,-","Canon","1346C026","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Laserprinters,"Samsung Xpress M2070W","","123,95","Samsung","SL-M2070W/SEE","All-in-one","Laser","A4","4800 x 4800","20 ppm","None","0,128 GB","40,6 cm x 36 cm x 25,3 cm","7,4 kg"
