product_type,product_name,product_desc,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Muizen,"Veripart Compacte Draadloze Muis","Met de Veripart Compacte Draadloze Muis navigeer je vrij in de ruimte zonder last te hebben van bedrading. De muis gebruik je namelijk draadloos dankzij de micro usb-ontvanger. Doordat de muis een bereik heeft van ongeveer 6 meter, hoef je niet dichtbij je laptop of computer te zitten om verbinding te hebben. Daarnaast is de muis zeer compact en past daardoor makkelijk in je laptoptas om mee te nemen. En de snelheid van de muis is in te stellen met de daarvoor bestemde knop.","14,99","Veripart","21740","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","6 cm x 2,7 cm x 10,7 cm","Grijs, Zwart"
Muizen,"Logitech MX Master Wireless Muis","De Logitech MX Master Wireless Muis is gemaakt voor intensief gebruik. Dankzij de handgemaakte vorm biedt de muis veel comfort. Daarnaast onderscheid de muis zich van de rest door zijn controle en precisie. Het scrollwiel schakelt - naar aanleiding van jouw scrollgedrag - van kliksgewijs naar supersnel scrollen. Ook horizontaal scrollen is voor deze MX Master geen probleem, dit doe je gewoon met het  speciale duimwiel. De Darkfield-lasersensor zorgt ervoor dat je op iedere ondergrond te werk kan. Daarnaast schakel je eenvoudig tussen verschillende apparaten, dankzij de usb nano-ontvanger en Bluetooth 4.0.","74,99","Logitech","910-004362","Full-size","Rechtshandig","7 knoppen","Laser","None","Draadloos","Nee","8,57 cm x 12,6 cm x 4,84 cm","Zwart"
Muizen,"HP X3500 Draadloze Muis Zwart","De HP X3500 Draadloze Muis Zwart werkt op een frequentie van 2,4 GHz. Hierdoor blijft deze HP muis ook op grotere afstand van je computer of laptop prima werken en heb je geen last van verstoring met andere apparaten. Je hebt geen last meer van kabels of ver uitstekende ontvangers dankzij de compacte nano-ontvanger. Met de meegeleverde batterijen kunt je zo'n 12 maanden vooruit.","24,99","HP","H4K65AA","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","6,92 cm x 11,9 cm x 3,81 cm","Zwart"
Muizen,"HP X4500 Draadloze Muis","De HP X4500 Draadloze Muis maakt verbinding met je laptop of PC via een USB nano-ontvanger. Zo heb je geen last meer van kabels of ver uitstekende USB-ontvangers. De muis wordt geleverd met 2 AA batterijen die de muis tot wel 30 maanden energie geven. De HP X4500 Draadloze Muis is plug-and-play en te gebruiken op vrijwel ieder oppervlak.","29,99","HP","H2W26AA","Full-size","Rechtshandig","3 knoppen","Laser","None","Draadloos","Nee","11,395 cm x 7,42 cm x 3,85 cm","Zwart"
Muizen,"Logitech Mouse M90","De Logitech Mouse M90 is er niet 1 die pronkt met al zijn mogelijkheden en extra's. Het is een bescheiden apparaat bedoeld voor zowel links- als rechtshandige gebruikers dat doet wat hij moet doen. Plug de muis eenvoudig in de usb-aansluiting van je computer of laptop om vervolgens  zonder installatiewerk meteen aan de slag te kunnen. Daarbij heb je ook de zekerheid dat je altijd een goede verbinding hebt. Tenslotte maak de M90 gebruik van optische tracking waardoor je er een soepele en nauwkeurige cursorbesturing aan overhoudt.","21,99","Logitech","910-001793","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Bedraad","Bedraad","8,7 cm x 13,2 cm x 4,2 cm","Zwart"
Muizen,"Logitech Wireless Mouse M705","Steek de usb nano ontvanger in je laptop of PC en gebruik de Logitech Wireless Mouse M705 draadloos. De laser technologie van de muis maakt het mogelijk om hem op vrijwel iedere ondergrond te gebruiken. Met de extra knoppen voeg je naar eigen invulling opties toe aan je muis, zo werk je sneller en bespaar je tijd.","49,99","Logitech","910-001949","Compact","Rechtshandig","5 knoppen","Laser","None","Draadloos","Nee","10,9 cm x 4 cm x 7 cm","Grijs, Zwart"
Muizen,"Trust Yvi Draadloze Muis Zwart","De Trust Yvi Draadloze Muis Zwart is compact, draadloos en zowel links- als rechtshandig te gebruiken. De muis maakt gebruik van een Plug & Play-systeem waardoor je hem op iedere desktop of laptop gebruikt zonder installatie. De verbinding wordt gemaakt door middel van de meegeleverde usb micro-ontvanger. De ontvanger kan onderweg aangesloten blijven op je laptop of kan worden opgeborgen in de muis.","16,99","Trust","18519","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Zwart"
Muizen,"HP X1500 Optische Muis","Stijlvol, zwart en zonder poespas, dat is de HP x1500 Optische muis. De muis heeft een symmetrische vorm, zo ligt de muis zowel links- als rechtshandig altijd comfortabel in de hand. Deze ergonomische vorm is er niet voor niets, want hierdoor krijg je met de X1500 minder snel last van polsklachten.","17,99","HP","H4K66AA","Full-size","Linkshandig, Rechtshandig","None","Optisch","None","Bedraad","Nee","6,9 cm x 3,8 cm x 11,9 cm","Zwart"
Muizen,"Logitech Corded Mouse M500","De Logitech Corded Mouse M500 is een bedrade lasermuis die op vrijwel iedere ondergrond te gebruiken is. Door het ontwerp ligt de muis zeer prettig in de hand en heb je altijd voldoende grip. De Logitech Corded Mouse M500 beschikt over 2 programmeerbare duimknoppen, zodat je de muis kunt instellen hoe jij wilt. Je sluit de muis aan via een USB-kabel en omdat de muis Plug & Play is hoef je verder niks te installeren.","39,99","Logitech","910-003726","Full-size","Rechtshandig","4 knoppen","Laser","None","Bedraad","Nee","6,9 cm x 12,6 cm x 4,2 cm","Grijs"
Muizen,"Logitech MX Anywhere 2 Wireless Muis","De Logitech MX Anywhere 2 Wireless Muis is geschikt voor thuis, op kantoor of als extra muis voor bij je laptop. De muis heeft een bereik van 10 meter, zonder dat je last hebt van verstoring met andere apparaten. Koppel tot 3 apparaten aan de deze Logitech MX en schakel eenvoudig tussen deze apparaten met 1 druk op de knop.","59,99","Logitech","910-004374","Compact","Rechtshandig","5 knoppen","Laser","None","Draadloos","Nee","6,16 cm x 10,03 cm x 3,44 cm","Zwart"
Muizen,"Logitech M330 Silent Draadloze Muis Zwart","Laat je nooit meer afleiden door klikgeluiden met de Logitech M330 Silent Draadloze Muis. Deze muis heeft namelijk stille knoppen met rubberen switches. Hierdoor wordt het geluid gedempt en maakt een klik 90% minder geluid dan standaard muizen terwijl het vertrouwde klikgevoel bewaard blijft. Sluit de usb nano ontvanger aan op je laptop of pc en je maakt direct draadloos verbinding met de muis. Constant batterijen verwisselen is verleden tijd, want de muis houdt het tot 24 maanden lang vol op een enkele batterij. Gebruik je de muis even niet? Je hoeft de muis niet uit te zetten, want de M330 schakelt zelf over naar de slaapstand tot je hem weer gebruikt.","32,99","Logitech","910-004909","Compact","Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","10,54 cm x 3,84 cm x 6,79 cm","Zwart"
Gaming muizen,"Razer DeathAdder Elite","Met de mechanische Razer Deathadder Elite gaming muis laat Razer jouw reflexen het werk doen. De muis heeft namelijk mechanische switches in de knoppen, hierdoor wordt je klik eerder geregistreerd en schiet je net iets eerder dan je tegenstanders. Van kleine, precieze bewegingen tot lange, slepende low-sensitivity muisbewegingen, met een hoge dpi tot 16.000 stel je de gevoeligheid van de muis naar wens af. Gevoelig of langzaam, de rubberen grepen aan de zijkanten geven je de controle die je nodig hebt om snelle en precieze bewegingen uit te voeren. De muis licht op in één van de 16,8 miljoen beschikbare kleuren, bijvoorbeeld die van jouw computerkast of elke dag in een ander kleurtje.","73,-","Razer","142997","None","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","7 cm x 12,7 cm x 4,4 cm","Zwart"
Gaming muizen,"Logitech G403 Prodigy Corded","Met de Logitech G403 Prodigy Corded op je bureau heb je een instelbare gaming muis waarbij elke klik telt. Hoe vaak je ook klikt, dankzij de mechanische veren wordt elke klik, en dus elke actie in games, eerder geregistreerd en uitgevoerd dan bij reguliere knoppen. Met het meegeleverde muisgewicht van 10 gram ligt de muis bij elke game lekker in de hand. Daarnaast wissel je tijdens het gamen tussen verschillende dpi instellingen tot 12.000 dpi, zo ben je altijd net iets sneller of preciezer dan je tegenstanders. Kies zelf in welke van de 16,8 miljoen kleuren de muis vandaag oplicht. De instellingen van de muis bewaar je op het ingebouwde geheugen, zodat de gevoeligheids- en kleurinstellingen altijd goed staan.","59,-","Logitech G","910-004825","None","Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","6,8 cm x 12,4 cm x 4,3 cm","Zwart"
Muizen,"Logitech M220 Silent Draadloze Muis Blauw","Met de Logitech M220 Silent Draadloze Muis heb je nooit meer last van vervelende klik- en muisgeluiden. Deze muis heeft namelijk stille knoppen met rubberen switches. Hierdoor wordt het geluid gedempt en maakt een klik 90% minder geluid dan standaard muizen terwijl het vertrouwde klikgevoel bewaard blijft. Sluit de usb nano ontvanger aan op je laptop of pc en je maakt direct draadloos verbinding met de muis. Batterijen verwisselen is verleden tijd, want met de automatische slaapstand houdt de muis het tot 18 maanden lang vol op 1 lading. Dankzij de symmetrische vorm van de muis is de muis zowel links- als rechtshandig te gebruiken.","21,99","Logitech","910-004879","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Blauw"
Muizen,"HP Z3700 Draadloze Muis Zwart","De HP Z3700 Draadloze Muis Zwart gebruik je om webpagina's en programma's op je laptop of desktop te scrollen. Deze muis is draadloos en werkt door middel van een usb-ontvanger. Hierdoor heb je geen last van kabels die in de knoop raken. Dankzij de frequentie van 2,4 GHz werkt de muis ook vanaf een grotere afstand. Hierbij heb je geen last van verstoring door andere apparaten in de omgeving. Een muismat heb je niet per se nodig omdat deze muis op elke ondergrond werkt dankzij de lasersensor.","22,99","HP","V0L79AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","6 cm x 10,1 cm x 2,53 cm","Zwart"
Muizen,"Logitech MX Master 2S Draadloze Muis Zwart","De Logitech MX Master 2S is een luxe muis gericht op ergonomie en functionaliteit. Naast de standaard duimknoppen beschikt de muis namelijk ook over een horizontaal scrollwiel en een vloerknop. Hiermee navigeer je gemakkelijk door grote Excel bestanden of 3D projecten en heb je snel toegang tot geavanceerde functies. Dankzij de Logitech Flow software bestuur je tot 3 computers tegelijk met deze muis. Hoe? Simpel, sleep de muiscursor naar de rand van je scherm en de muis verschijnt automatisch op het scherm van bijvoorbeeld je laptop. Via het rechtsklik-menu wissel je bestanden uit tussen gekoppelde computers. In tegenstelling tot zijn voorganger gaat de batterij nu tot 70 dagen mee en is 3 minuten laden genoeg voor een dag muiswerk.","109,99","Logitech","910-005139","Full-size","Rechtshandig","7 knoppen","Laser","None","Draadloos","Ja","8,5 cm x 12,6 cm x 4,8 cm","Zwart"
Muizen,"HP X3000 Wireless Mouse","De HP X3000 Wireless Mouse met nano-ontvanger werkt op een frequentie van 2,4 GHz. Hierdoor blijft deze HP muis ook op grotere afstand van je computer of laptop prima werken en heb je geen last van verstoring met andere apparaten. Je hebt geen last meer van kabels of ver uitstekende usb ontvangers door de nano(micro)-ontvanger. Voorzie de muis van een AA batterij en je kan tot twaalf maanden door blijven werken.","21,99","HP","H2C22AA#ABB","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","5,588 cm x 3,81 cm x 9,398 cm","Zwart"
Muizen,"Apple Magic Trackpad 2","De Apple Magic Trackpad 2 is het best te vergelijken met de trackpad van een Macbook. Door met je vingers over het multi-touch oppervlak te bewegen scroll en swipe je met het grootste gemak door je bestanden. Sensoren herkennen daarnaast hoeveel druk je uitoefent. Door harder te drukken zoom je in op afbeeldingen, spoel je video's vooruit en neem je een kijkje in ongeopende bestanden. De Apple Magic Trackpad maakt dankzij Bluetooth automatisch draadloos verbinding. En maak je geen zorgen over de batterijduur; met de Lightning poort laad je de Apple Trackpad 2 binnen 2 uur volledig op.","144,90","Apple","mj2r2z/a","Trackpad","Linkshandig, Rechtshandig","None","Touch","None","Draadloos","Nee","16 cm x 11,49 cm x 0,49 cm","Zilver"
Muizen,"Logitech Wireless Mouse M560 Zwart","De Logitech Wireless Mouse M560 Zwart is een draadloze optische muis die zeer geschikt voor gebruik met Windows 8. Door het ontwerp ligt de muis zeer prettig in de hand en heb je altijd voldoende grip. Ideaal zijn ook de programmeerbare knoppen op de muis. Daarnaast beschikt de Logitech Wireless Mouse M560 Wit over een kleine knop onder de scroll, die je direct naar de Windows 8 App Bar, Charms Bar, Desktop en Start Screen brengt. De USB-ontvanger is zo klein dat deze nauwelijks uit de USB-poort steekt. Je hoeft je dan ook geen zorgen meer te maken dat deze beschadigt of zoek raakt.","44,99","Logitech","910-003882","Full-size","Linkshandig, Rechtshandig","5 knoppen","Optisch","None","Draadloos","Nee","11,2 cm x 6,8 cm x 3,9 cm","Zwart"
Muizen,"Trust Evo Advanced Laser Muis","De Trust Evo Advanced Laser Muis werkt dankzij de sterke laser op hout, glas, fineer, gepolijste bureaus, werktafels of zelfs op je schoot. Door de navigatieknoppen bij de duim en de ergonomische vorm van de muis, heeft je hand een gezonde houding en optimale controle. De rubberen afwerking zorgt voor een uitstekende grip. De verbinding wordt gemaakt door middel van de meegeleverde usb micro-ontvanger. De ontvanger kan onderweg aangesloten blijven op je laptop of kan worden opgeborgen in de muis.","33,99","Trust","19829","Full-size","Rechtshandig","8 knoppen","Laser","None","Draadloos","Nee","8,2 cm x 12,5 cm x 4,6 cm","Zwart, Zilver"
Muizen,"Logitech M220 Silent Draadloze Muis Rood","Met de Logitech M220 Silent Draadloze Muis heb je nooit meer last van vervelende klik- en muisgeluiden. Deze muis heeft namelijk stille knoppen met rubberen switches. Hierdoor wordt het geluid gedempt en maakt een klik 90% minder geluid dan standaard muizen terwijl het vertrouwde klikgevoel bewaard blijft. Sluit de usb nano ontvanger aan op je laptop of pc en je maakt direct draadloos verbinding met de muis. Batterijen verwisselen is verleden tijd, want met de automatische slaapstand houdt de muis het tot 18 maanden lang vol op 1 lading. Dankzij de symmetrische vorm van de muis is de muis zowel links- als rechtshandig te gebruiken.","21,99","Logitech","910-004880","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Rood"
Gaming muizen,"Razer Mamba Tournament Edition","Probeer maar eens een preciezere muis te vinden dan de Razer Mamba Tournament Edition. Deze muis heeft een indrukwekkende 16.000 dpi lasersensor, wat hem - op het moment van schrijven (sep '15) - tot de nauwkeurigste muizen ter wereld maakt. Laat deze eigenschap je voordeel ten opzichte van je concurrentie flink vergroten. De Razer Mamba Tournament Edition kan tracken in stapjes van 1 DPI en heeft een lift-off-afstand tot op 0,1 mm nauwkeurig, waardoor je direct kunt reageren en de overwinning bedreven binnen kunt halen.","89,-","Razer","124881","None","Rechtshandig","9 knoppen","Laser","None","Bedraad","Ja","7 cm x 12,8 cm x 4,25 cm","Zwart"
Muizen,"Logitech Wireless Trackball M570","De rechtshandige mensen onder ons hebben het getroffen met de Logitech Wireless Trackball M570. De trackball biedt urenlang comfortabel werken in optima forma. Zijn ergonomische vorm en stabiele voetstuk dragen bij aan de juiste werkhouding en bieden steun aan de rechterhand van zijn gebruiker. Een Trackball kan erg handig zijn bij weinig bureauruimte of bij een bewegend oppervlak. In het geval van deze Trackball beweeg je de muis door de blauwe knop te draaien en kan de muis op een vaste plek blijven staan. De usb-ontvanger is zo klein dat deze nauwelijk uit de usb-poort steekt. Je hoeft je dan ook geen zorgen meer te maken dat deze beschadigt of zoek raakt.","72,99","Logitech","910-001882","Full-size","Rechtshandig","5 knoppen","Trackball","None","Draadloos","None","14,5 cm x 4,5 cm x 9,5 cm","Zwart"
Muizen,"Logitech MX Anywhere 2S Draadloze Mobiele Muis Zwart","Met de Logitech MX Anywhere 2S Draadloze Mobiele Muis bestuur je tot drie computers en kopieer je tekst, afbeeldingen en bestanden eenvoudig heen en weer. Ga als een speer door documenten met supersnel scrollen. De MX ANYWHERE 2S gaat na volledige oplading tot twee maanden mee en in slechts drie minuten tijd heb je genoeg power voor een hele dag. Je werkt vrijwel op elke ondergrond met deze laser muis. En dankzij de compacte, geronde vorm neem je hem mee onderweg en ligt hij ook bij intensief gebruik prettig in de hand.","89,99","Logitech","910-005153","Compact","Linkshandig, Rechtshandig","7 knoppen","Laser","None","Draadloos","Ja","6,1 cm x 10,3 cm x 3,4 cm","Zwart"
Muizen,"Trust Evo Draadloze Muis","De Trust Evo Draadloze Muis gebruik je draadloos dankzij een usb ontvanger. Hierdoor ben je niet beperkt in je beweging door een draad. Op de plek waar je jouw duim plaatst, bevinden zich 4 knoppen waarmee je direct in het Windows startmenu beland, in- en uitzoomt en naar de volgende of vorige pagina in je browser navigeert. De LED lampjes op de muis geven de levensduur van de batterijen en de snelheid van de muis aan. Deze snelheid pas je eenvoudig aan via een knop. Je gebruikt deze muis in combinatie met een laptop met Windows 7,8 10 of Vista als besturingssysteem.","34,99","Trust","21241","Full-size","Rechtshandig","8 knoppen","Optisch","None","Draadloos","Nee","8,2 cm x 4,6 cm x 12,5 cm","Zwart"
Muizen,"Trust Yvi Draadloze Muis Rood","De Trust Yvi Draadloze Muis Rood is compact, draadloos en zowel links- als rechtshandig te gebruiken. De muis maakt gebruik van een Plug & Play-systeem waardoor je hem op iedere desktop of laptop gebruikt zonder installatie. De verbinding wordt gemaakt door middel van de meegeleverde usb micro-ontvanger. De ontvanger kan onderweg aangesloten blijven op je laptop of kan worden opgeborgen in de muis.","16,99","Trust","19522","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Rood"
Muizen,"Trust Yvi Draadloze Muis Blauw","De Trust Yvi Draadloze Muis Blauw is compact, draadloos en zowel links- als rechtshandig te gebruiken. De muis maakt gebruik van een Plug & Play-systeem waardoor je hem op iedere desktop of laptop gebruikt zonder installatie. De verbinding wordt gemaakt door middel van de meegeleverde usb micro-ontvanger. De ontvanger kan onderweg aangesloten blijven op je laptop of kan worden opgeborgen in de muis.","16,99","Trust","19663","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Blauw"
Muizen,"Logitech Wireless Mouse M325 (Grijs)","Met de Logitech Wireless Mouse M325 (Grijs) kan je supersnel en nauwkeurig scrollen, dit is een nieuwe technologie van Logitech. Zo kan je snel door alle webpagina's scrollen en met het kantelwiel kiezen voor een vorige of de volgende webpagina. Door middel van een enkele AA batterij ben je 18 maanden voorzien van een werkende muis. De geronde vormen in combinatie met de rubberen textuur zorgen voor een fijne grip, zelf na uren gebruik van de Logitech Wireless Mouse M325 (Grijs).","34,99","Logitech","910-002142","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,47 cm x 3,91 cm x 5,7 cm","Grijs, Zwart"
Muizen,"Trust MaxTrack Mouse","De Trust MaxTrack Mouse is voorzien van nauwkeurige BlueSpot-technologie, zodat je de muis kan gebruiken op bijna alle ondergronden. Denk hierbij aan tapijt, hout en lichte of donkere ondergronden. Het dpi kan je instellen naar wens. Kies een dpi van 500 voor normaal gebruik en schakel over naar 1000 dpi voor snelle bewegingen tijdens het gamen. Met de knoppen aan de zijkant van de muis schakel je snel tussen pagina op het internet of in je explorer. De Trust MaxTrack Mouse is een complete muis met ergonomische vormen, die je kan gebruiken voor meerdere doeleinden op je laptop of PC.","19,99","Trust","17178","Full-size","Rechtshandig","5 knoppen","Laser","None","Bedraad","Nee","7,9 cm x 13 cm x 4,2 cm","Zwart, Zilver"
Muizen,"Microsoft Wireless Mobile Mouse 3600 Rood","Sluit de Microsoft Wireless Mobile Mouse geheel draadloos aan op je laptop of PC dankzij Bluetooth. Zo raak je onderweg nooit meer je usb ontvanger kwijt en ga je overal aan het werk. Je gebruikt deze muis zowel links- als rechtshandig. Werk op vrijwel ieder oppervlak met de Blue Track technologie en scroll horizontaal én verticaal met het speciale scrollwheel.","34,99","Microsoft","PN7-00014","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,53 cm x 5,69 cm x 4,04 cm","Rood"
Gaming muizen,"Trust GXT 152 Illuminated","Een beetje gamesessie is niet zomaar na een half uurtje voorbij. Nee, de kans is vrij groot dat zo'n sessie een paar uur duurt. Je hebt dus lekker lang (non-stop) een muis in handen. Die kan maar beter erg ergonomisch en comfortabel zijn. Zoals de Trust GXT 152 Illuminated. Deze verlichte muis voorkomt ook nog eens vervelende uitglijders: hij is volledig omhuld met rubber voor een stevige grip.","21,99","Trust","19509","None","Linkshandig, Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","7,9 cm x 12,1 cm x 3,8 cm","Oranje"
