product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_response,product_brightness,product_refresh,product_screentype,product_connection,product_dimensions,product_weight
Monitoren,"BenQ Zowie RL2455","De BenQ Zowie RL2455 is een 24 inch Full HD monitor speciaal ontworpen voor de RTS gamers. Dankzij de 1 ms reactietijd heb je nooit last van ghosting tijdens het gamen. Zodra je de RTS modus activeert wordt de monitor geoptimaliseerd, zodat de donkere delen in een game beter oplichten. Handig, want hierdoor zijn jouw tegenstanders veel beter zichtbaar. De RTS modus 1 is speciaal gemaakt voor Starcraft II en de RTS modus 2 voor Dota II. De monitor optimaliseert deverversingssnelheid van 75Hz naar 60Hz voor game consoles. Bovendien is de BenQ Zowie RL2455 uitgerust met ingebouwde luidsprekers.","169,-","BenQ","9H.LF4LB.DBE","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","57,9 cm x 18,9 cm x 43,5 cm","4,1 kg"
Monitoren,"AOC Q2790PQU","Met de AOC Q2790PQU maak jij jouw werkplek thuis of op kantoor compleet. Dankzij het 27 inch scherm werk je met meerdere vensters naast elkaar. Hierdoor werk je aan jouw presentatie terwijl je de laatste opmerkingen vanuit de mail verwerkt. Wil je foto's bewerken? Met de 2560 x 1440 is dat geen enkel probleem op deze monitor. Dankzij het IPS paneel zie jij de kleuren vanuit elke hoek. Door het blauw licht filter verminder je de kans op vermoeide ogen en slaapproblemen. De AOC is in hoogte verstelbaar en is kantelbaar, waardoor je altijd een fijne werkhouding aanneemt. Na aanschaf ga jij direct aan de slag met je nieuwe monitor, want de aansluitkabels worden standaard meegeleverd.","299,-","AOC","Q2790PQU/BT","27 inch","2560 x 1440 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB","61,3 cm x 20 cm x 52,9 cm","5,8 kg"
Monitoren,"Philips 240V5QDAB","Met de Philips 240V5QDAB kijk je films in Full HD kwaliteit of bewerk je foto's en video's. Deze monitor heeft een IPS paneel, waardoor je vanuit elke kijkhoek geniet van een helder beeld. Extra kabels om speakers aan te sluiten zijn niet nodig, want deze monitor beschikt over twee ingebouwde luidsprekers.","119,-","Philips","240V5QDAB/00","24 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,3 cm x 21,9 cm x 42 cm","4,09 kg"
Monitoren,"AOC i2490PXQU/BT","De AOC i2490PXQU/BT is een basis 24 inch IPS monitor die zowel thuis of op kantoor uitblinkt dankzij de goede kleurweergave. Met 100% dekking van het sRGB kleurenspectrum is deze monitor bijzonder geschikt voor het bewerken van vakantiefoto's, video's en ander kleurgevoelig werk. De monitor is ontworpen om comfortabel een avond of een werkdag achter de monitor door te brengen. Zo is de monitor voorzien van trillingsvrije technologie, zodat je aan het eind van de dag geen last van je ogen hebt. 'S avonds nog aan de slag? Het blauw licht filter voorkomt slaapproblemen en maakt het licht minder zwaar op je ogen. De monitor is volledig verstelbaar zodat je altijd vanuit een comfortabele houding naar het scherm kijkt.","179,-","AOC","i2490PXQU/BT","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","54 cm x 20 cm x 50 cm","3,2 kg"
Monitoren,"AOC U2777PQU","De AOC U2777PQU is een monitor met 4K resolutie en is geschikt voor grafisch ontwerpers, gamers en filmfans. Hij ondersteunt het sRGB kleurprofiel voor 100%, waardoor kleuren natuurgetrouw worden weergegeven. Dankzij het IPS paneel heb je vanuit elke hoek goed zicht op het scherm. Met een reactiesnelheid van 4 ms heb je op deze monitor geen last van ghosting tijdens games en films. Draai, kantel, roteer of verstel dit scherm in hoogte om in de meest comfortabele houding van de Ultra HD resolutie te genieten. De rand om dit scherm is vrijwel niet zichtbaar, waardoor je prettig met meerdere monitoren naast elkaar werkt en geen grote ruimte tussen je schermen hebt.","439,-","AOC","U2777PQU","27 inch","3840 x 2160 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","61,49 cm x 19,43 cm x 53,12 cm","7,3 kg"
Monitoren,"LG 38UC99","Benut de volle schermbreedte van de LG 38UC99 en zet tijdens je grafische werkzaamheden meerdere programma's naast elkaar open. Deze monitor is ultrawide, curved en heeft een afmeting van maar liefst 38 inch. Zo krijg je met dit scherm evenveel werkruimte als bij 2 'normale' schermen naast elkaar. Door de hoge resolutie bewerk je foto's, video's en ander grafisch werk tot in detail. Terwijl de 99% dekking van de sRGB kleurruimte zorgt voor een zeer waarheidsgetrouwe weergave van kleuren. Deze LG is de eerste ultrawide monitor met usb c. Via deze aansluiting verstuur je data en laad je tegelijk randapparatuur als je laptop of telefoon op.","1.399,-","LG","38UC99","38 inch","3840 x 1600 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A, USB-type C","89,8 cm x 32 cm x None","9,83 kg"
Monitoren,"AOC E2470SWH","De AOC E2470SWH is een 23,6 inch beeldscherm met Full HD resolutie. Je gebruikt deze monitor voor je dagelijkse taken, zoals presentaties opmaken en verslagen maken of voor het spelen van een game. Dankzij de reactietijd van 1 ms heb je geen last van vertraging in het beeld tijdens het spelen van een potje FIFA. Het beeldscherm is kantelbaar, zodat je hem geheel naar jouw persoonlijke voorkeur instelt.","109,-","AOC","E2470SWH","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,14 cm x 2,21 cm x 40,04 cm","3,58 kg"
Monitoren,"LG 27UD58P","Gamen of het bewerken van foto's en video's doe je voortaan in een 4K resolutie op het 27 inch scherm van de LG 27UD58P. Heb je een AMD videokaart, dan zorgt de FreeSync technologie ervoor dat je geen haperingen ondervindt tijdens het gamen. Sluit de monitor aan via een DisplayPort of HDMI poort en aanschouw ware kleuren op het IPS paneel, in wat voor hoek je ook voor je scherm zit. De monitor heeft ook nog een 99% ondersteuning van het sRGB kleurprofiel, waardoor kleuren realistischer worden. Ideaal voor het bewerken van de nieuwste kiekjes en filmpjes van de afgelopen vakantie.","429,-","LG","27UD58P-B.AEU","27 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon","63,25 cm x 25,15 cm x 43,43 cm","7,4 kg"
Monitoren,"Philips 223V5LHSB2/00","Als je op zoek bent naar een monitor voor al jouw multimedia-taken, is de Philips 223V5LHSB2/00 een goede keus. Dankzij SmartControl Lite worden zelfs de donkerste kleuren in detail weergegeven. Handig wanneer je foto's of video's bewerkt, of wanneer je een film kijkt. Werk gerust de hele dag door, want je kantelt de monitor eenvoudig voor de beste werkhouding.","99,-","Philips","223V5LHSB2/00","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","HDMI, VGA","50,3 cm x 21,3 cm x 37,6 cm","2,61 kg"
Monitoren,"Philips Brilliance Monitor BDM4350UC","Al je werk, films en games heb je voortaan in 4K voor je neus met de Philips Brilliance BDM4350UC. Bewerk video's, 3D modellen of andere content tot in het kleinste detail dankzij de Ultra HD resolutie. En zit het werk erop, dan speel je al je favoriete spellen in een resolutie die vier keer zo hoog is als Full HD. Dankzij de reactietijd van 5 ms voelt de besturing tijdens het gamen strak aan en domineer je op het digitale speelveld.","499,-","Philips","BDM4350UC/00","43 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","96,8 cm x 25,9 cm x 63 cm","9,72 kg"
Monitoren,"Samsung LC24FG73FQUXEN","De Samsung LC24FG73FQUXEN is een 24 inch curved QLED monitor waarop je jouw  favoriete games intenser ervaart dan op een plat scherm. Het beeldscherm buigt zich als het ware om je heen, waardoor het scherm groter lijkt en je kleuren beter waarneemt. De 144Hz verversingssnelheid zorgt voor vloeiende bewegende beelden. Daarnaast synchroniseert de FreeSync technologie de verversingssnelheid met die van je AMD videokaart, zodat je geen last hebt van tearing en stuttering. Dankzij het QLED paneel kan de monitor zelfs meer kleuren weergeven dan een conventionele monitor. Dit resulteert in 125% dekking van het sRGB kleurenspectrum en dit geeft een levensechte kleurweergave, wat fijn is voor het bewerken van foto's en video's.","329,-","Samsung","LC24FG73FQUXEN","24 inch","1920 x 1080 pixels","1 ms","None","144 Hz","VA paneel","HDMI, DisplayPort, Hoofdtelefoon","54,4 cm x 28,1 cm x 51,9 cm","4,4 kg"
Monitoren,"BenQ GW2470H","De BenQ GW2470H is een 24 inch monitor waarop je in Full HD films kijkt en foto's bewerkt. Deze monitor heeft een reactietijd van 4 ms, waardoor hij geschikt is voor snel bewegende beelden. Of je nu rechtop werkt of onderuit gezakt een film kijkt, het scherm is altijd goed te zien dankzij de kijkhoek van 178 graden. Dankzij de Flicker Free technologie en een verminderde hoeveelheid blauw licht raken je ogen minder snel vermoeid en geïrriteerd als je lang doorwerkt of een filmavond houdt.","119,-","BenQ","9H.LDMLB.QBE","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","AMVA paneel","HDMI, VGA","55,3 cm x 18,9 cm x 42,5 cm","4 kg"
Monitoren,"iiyama ProLite B2783QSU-B1","De iiyama ProLite B2783QSU-B1 is zowel geschikt voor het gebruik van Office als voor gaming. Door de hoge resolutie heb je namelijk veel werkruimte, of speel je de laatste games op zeer hoge resolutie. Wil je de monitor gebruiken om te tekstverwerken of Excel-sheets uit te lezen? Door de kantelbare, roteerbare en in hoogte verstelbare voet, vind je altijd de juiste houding om zo snel mogelijk te kunnen werken. Wil je de monitor gebruiken om te gamen? De monitor heeft een responstijd van 1 ms zodat je de concurrentie altijd een stap voor bent.","289,-","Iiyama","B2783QSU-B1","27 inch","2560 x 1440 pixels","1 ms","None","60 Hz","TN paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon, USB-type A","62,25 cm x 23 cm x 53,05 cm","6,1 kg"
Monitoren,"LG 43UD79","De LG 43UD79 is een 4K monitor waarop je tot in het kleinste detail aan je grafische modellen werkt. Het ruime beeldscherm heeft een afmeting van 42,5 inch, waardoor je een ruim werkveld hebt en door de split screen functie in 4 vensters tegelijkertijd werkt. Met de Ultra HD resolutie heb je op dit grote scherm een haarscherp beeld en zoom je ver in tijdens het bewerken van foto's. Werk je in een fel verlichte omgeving? Dat is geen probleem, want met de hoge helderheid van 350 cd/m2 neem je de kleuren op het scherm altijd goed weer. Daarbij helpt ook het anti-glare paneel tegen weerspiegelingen en weerkaatsend licht, zodat je gefocust werkt.","699,-","LG","43UD79-B.AEU","43 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, USB-type C","96,7 cm x 27,5 cm x 64,76 cm","15,9 kg"
Monitoren,"Samsung LC34F791WQUXEN","De Samsung LC34F791WQUXEN is een gekromde monitor van 34 inch om met meerdere programma's naast elkaar te werken. Zet rechts van het beeldscherm Photoshop open en zoek links naar afbeeldingen in je Dropbox map. Dit beeldscherm beschikt over een Quantum dot paneel waardoor kleuren in foto's en video's accuraat worden weergeven. Je draait en kantelt deze Samsung monitor zodat je ergonomisch te werk gaat. Zo krijg je niet snel last van je gewrichten en pas je de positie van de monitor aan op de situatie. De Eye Saver Mode is een blauw licht filter, waardoor je ogen minder snel vermoeid raken en je langer doorwerkt. Luister naar muziek uit je Spotify afspeellijst met de ingebouwde speakers.","932,-","Samsung","LC34F791WQUXEN","34 inch","3440 x 1440 pixels","4 ms","None","100 Hz","VA paneel","HDMI, DisplayPort, USB-type A","80,87 cm x 16,7 cm x 36,28 cm","6,1 kg"
Monitoren,"AOC U2879VF","Speel je favoriete games voortaan in 4K met de AOC U2879VF. Deze monitor zorgt er met zijn UHD resolutie voor dat jij tegenstanders altijd scherp ziet, maar ook dat je ze niet uit het oog verliest. De AMD FreeSync technologie voorkomt schokkerige beelden, terwijl de besturing tijdens het gamen strak aanvoelt dankzij de reactietijd van slechts 1 ms. Houd jij wel van een lange gamingsessie? Door de trillingsvrije technologie krijg je minder snel last van vermoeide ogen als je uren naar het scherm tuurt. En via de MHL-poort sluit je een Android telefoon aan op deze monitor, zodat je ook de leukste games op je telefoon op een groter scherm speelt.","299,-","AOC","U2879VF","28 inch","3840 x 2160 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon","68,93 cm x 16,9 cm x 39,48 cm","7,94 kg"
Monitoren,"LG 27UD69P","Met de LG 27UD69P monitor behoren zichtbare pixels tot het verleden. Dit 29 inch beeldscherm heeft een 3840 x 2160 resolutie waardoor het beeld 4 keer scherper is dan met een Full HD scherm. Gebruik de Split Screen functionaliteit om eenvoudig meerdere schermen naast elkaar te openen. Zo werk je in 2 programma's tegelijk en neem je bijvoorbeeld eenvoudig gegevens over vanuit Gmail naar PowerPoint. Deze LG monitor is compleet verstelbaar voor een comfortabele werkhouding. Hoe je de monitor ook plaatst, kleuren zijn vanuit elke hoek goed zichtbaar dankzij het IPS paneel. De monitor is ook voorzien van een anti-glare laag, zodat je geen last hebt van reflecties door binnenkomend licht.","499,-","LG","27UD69P-W.AEU","27 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort","61,5 cm x 20,9 cm x 45,49 cm","5 kg"
Monitoren,"Samsung C49HG90","Met de Samsung C49HG90 ervaar jij je games op een curved beeldscherm van 49 inch. Achter deze extreem ultrawide monitor met een resolutie van 3840 x 1080 zie je tijdens je games bijna het hele speelveld, zoals een stad of een complete cockpit. De C49HG90 beschikt een QLED beeldscherm, wat zorgt voor levensechte kleuren. Daarnaast zorgt de HDR techniek voor een helderheid van 600 cd/m2, waardoor jij ook in donkere games je tegenstanders goed ziet en altijd in het voordeel bent. Door het panoramisch effect van het gebogen scherm waan jij je middenin je games en hoef je ook nog eens minder met je hoofd en nek te bewegen om het hele beeld te zien. Dankzij de 144 Hz verversingssnelheid speel je jouw games vloeiend af en dankzij de FreeSync technologie heb je geen last meer van haperingen als je gamet met een AMD videokaart.","1.499,-","Samsung","LC49HG90DMUXEN","49 inch","3840 x 1080 pixels","1 ms","None","144 Hz","VA paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A, USB-type B","120 cm x 38 cm x 53 cm","15 kg"
Monitoren,"LG 34UM58-P","Benut de grootte van de LG 34UM58-P ultrawide monitor bij het gamen, films kijken en als je met meerdere programma's tegelijkertijd werkt. Kleuren zien er op dit 34 inch beeldscherm realistisch uit dankzij de 99% dekking van het sRGB kleurprofiel. Zo pakken je Photoshop-projecten nog mooier uit. Multitasken wordt op deze monitor ook een stuk makkelijker, want je hebt meer ruimte om meerdere programma's naast elkaar open te zetten op het extra brede scherm. En ook gamen is geen probleem op deze LG monitor, met een reactietijd van 5 ms. Dat zorgt ervoor dat de besturing tijdens het gamen strak aanvoelt.","319,-","LG","34UM58","34 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, Hoofdtelefoon","83 cm x 21,32 cm x 46,07 cm","6,8 kg"
Monitoren,"AOC G2460VQ6","Speel je favoriete games zonder haperingen op de AOC G2460VQ6. Deze gaming monitor heeft een reactietijd van 1 ms, wat ervoor zorgt dat je gameplay soepel doorloopt. Tel daar de FreeSync technologie bij op, die tearing en stuttering voorkomt, en je hebt tegenstanders altijd scherp in het vizier. Game jij vaak in lange sessies? Door de Anti-Blue Light technologie krijg je minder snel last van vermoeide ogen.","139,-","AOC","G2460VQ6","24 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","56,54 cm x 2,193 cm x 41,16 cm","4,27 kg"
Monitoren,"HP EliteDisplay E232","De HP EliteDisplay E232 is een monitor voor op kantoor. Het beeldscherm is zowel kantelbaar als roteerbaar, zodat je altijd in een prettige werkhouding aan je bureau zit. Wil je op meerdere beeldschermen tegelijkertijd werken? Dat kan dankzij de HDMI, DisplayPort en VGA aansluitingen. En schijnt de laagstaande zon door het raam, dan blijft het zicht op je werk goed dankzij het anti glare scherm. In de standby-stand verbruikt deze monitor slechts 0,25 Watt. Zo bespaar je op de energierekening.","211,42","HP","M1N98AT","23 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","54,93 cm x 4,96 cm x 33,69 cm","3,63 kg"
Monitoren,"iiyama ProLite XUB2492HSU-B1","Met de iiyama ProLite XUB2492HSU-B1 heb jij een 24 inch monitor op je bureau waarmee je de hele dag comfortabel werkt. Dit Full HD beeldscherm is namelijk zowel kantelbaar, draaibaar, roteerbaar als in hoogte verstelbaar. Zo blijf je niet de hele dag in één positie zitten en vind je altijd een fijne werkhouding. Het IPS paneel geeft de kleuren van je design vanuit elke hoek natuurgetrouw weer. Met een reactietijd van 5 ms beweegt het beeld op een natuurlijke manier als je video's bewerkt of films kijkt. Als je lang wilt doorwerken worden je ogen minder snel moe dankzij de Flicker Free technologie en het blauw licht filter.","189,-","Iiyama","XUB2492HSU-B1","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","53,95 cm x 23 cm x 50,6 cm","5,4 kg"
Monitoren,"iiyama ProLite XUB2792QSU-B1","Foto's en video's bewerken doe je met de iiyama ProLite XUB2792QSU-B1. Dankzij de FreeSync technologie werkt de monitor beter samen met je AMD videokaart. Hierdoor worden bewegende beelden zonder haperingen weergegeven op het QHD beeldscherm. Het IPS paneel geeft ware kleuren vanuit elke kijkhoek weer, dus laat je nieuwste creaties zien aan je vrienden of collega's. Kantel, draai, roteer en verstel de monitor in hoogte en pas hem aan jouw werkhouding aan. Zo creëer je een ergonomische werkplek en krijg je minder last van je nek en schouders. Het blue light filter zorgt ervoor dat je ogen minder snel vermoeid raken, dus werk lang door aan je grafische project en haal die deadline.","349,-","Iiyama","XUB2792QSU-B1","27 inch","2560 x 1440 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, DVI, DisplayPort, Hoofdtelefoon, USB-type A","61,1 cm x 23 cm x 52,7 cm","6,1 kg"
Monitoren,"iiyama ProLite XB2783HSU-B1","Of je nou foto's bewerkt, een filmpje kijkt of aan het gamen gaat: met de iiyama ProLite XB2783HSU-B1 zit je altijd comfortabel. Deze 27 inch monitor is namelijk op maar liefst 4 manieren te verstellen, zodat je altijd de goede positie vindt die bij jouw werkhouding past. Geen nekpijn dus terwijl je beeldmateriaal in detail bewerkt in Full HD of al je vijanden verslaat in je favoriete games. Zonder dat je last hebt van schokkerig beeld, want de reactietijd van deze monitor is slechts 4 ms.","219,-","Iiyama","XB2783HSU-B1","27 inch","1920 x 1080 pixels","4 ms","None","75 Hz","AMVA paneel","HDMI, VGA, DVI, Hoofdtelefoon, USB-type A","62,25 cm x 23 cm x 53,05 cm","6 kg"
Monitoren,"Philips 273V7QDAB","De Philips 273V7QDAB is een 27 inch monitor geschikt voor dagelijkse taken als e-mail lezen en internetten. Teksten worden met de Full HD resolutie scherp weergeven en zijn vanuit elke hoek goed zichtbaar dankzij het IPS paneel. Met het blauw licht filter scroll je ook in de late uurtjes nog even door je Facebook tijdlijn heen zonder dat je er vermoeide ogen aan overhoudt. Luister je graag muziek via Spotify? Deze Philips monitor heeft ingebouwde speakers zodat je gelijk van geluid bent voorzien.","189,-","Philips","273V7QDAB","27 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","61,2 cm x 22,7 cm x 54 cm","4,5 kg"
