product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) MPXV2N/A Space Gray","De Apple MacBook Pro 13'' Touch Bar MPXV2N/A Space Gray beschikt over de Touch Bar. Een touchscreen boven het toetsenbord dat interactieve toetsen en functies laat zien. Bewerk je foto's, dan zie je op de Touch Bar filteropties of een kleurenpallet. Ben je aan het tekstverwerken, dan verschijnen opties om tekst 'vet' te maken en woordsuggesties. Zo bewerk je foto's en video's in full screen en is je toetsenbord veel interactiever. In de Touch Bar zit ook Touch ID. Een vingerafdruklezer om snel mee in te loggen en om betalingen goed te keuren. Randapparatuur sluit je aan op 1 van de 4 usb c aansluitingen, die geschikt zijn om én data over te zetten én je laptop op te laden.","1.899,-","Apple","MPXV2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 7267U","Intel Iris Plus Graphics 650","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","None"
Laptops QWERTY,"Acer Aspire 5 A517-51G-58ZH","De Acer Aspire 5 A517-51G-58ZH is een 17,3 inch desktopvervanger waarop je foto's bewerkt, je social media checkt en je favoriete series kijkt. Ook het simpel bewerken van je vakantiefilmpjes en het spelen van simpele games als Minecraft gaat vloeiend dankzij de NVIDIA GeForce MX150 videokaart. De achtste generatie Intel Core i5 processor is tot 40 procent sneller dan de vorige generatie i5 processors, waardoor je gemakkelijk met meerdere zware programma's, zoals Photoshop, tegelijkertijd werkt. Het Full HD beeldscherm beschikt over een IPS paneel, waardoor jij de ware kleuren van je foto's en films vanuit elke kijkhoek goed ziet. Grote bestanden overzetten doe je met een snelheid van 1,25 GB per seconde via de usb c poort.","899,-","Acer","NX.GSXEH.011","17,3 inch","1920 x 1080 pixels","Intel Core i5 8250U","NVIDIA GeForce MX150","2000 MB","8 GB","128 GB SSD + 1 TB HDD","42,33 cm x 28,99 cm x 2,83 cm","3 kg"
Laptops QWERTY,"MSI GF62VR 7RF-1013NL","De MSI GF62VR 7RF-1013NL is een gaming laptop waarmee je games op de hoogste instellingen speelt. Bezoek de virtuele werelden, want de NVIDIA GeForce GTX 1060 videokaart heeft de grafische kracht om VR games te ondersteunen en je games vloeiend weer te geven. Door zijn formaat van 15,6 inch en gewicht van 2,2 kg neem je de GF62VR 7RF-1013NL gemakkelijk mee in je tas naar een LAN party. Imponeer je tegenstanders door gebruik te maken van slimme toetsencombinaties op het RGB verlichte SteelSeries toetsenbord. Haperingen tijdens een potje multiplayer zijn verleden tijd, want dankzij Killer LAN ga je lag tegen. Start je games op vanaf de PCIe SSD schijf en begin binnen een paar seconden aan een nieuwe killstreak.","1.599,-","MSI","GF62VR 7RF-1013NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","256 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,9 cm","2,2 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14ISK 80XG0057MH","De Lenovo Ideapad 320-14ISK 80XG0057MH gebruik je thuis en op je werk om te mailen, te internetten en om Office documenten op te maken. Klap deze 14 inch laptop open en ga direct aan de slag, want de SSD schijf start je laptop binnen 15 seconden op. Grote bestanden, zoals films of hoge kwaliteit foto's, zet je snel over via de usb c poort. Ben je gefocust aan het werk of kijk je jouw favoriete serie en wil je niet afgeleid worden? Het Full HD beeldscherm is anti reflecterend, waardoor je geen last hebt van weerkaatsend licht wanneer de zon door het raam op je scherm schijnt.","499,-","Lenovo","80XG0057MH","14 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","33,83 cm x 24,99 cm x 2,27 cm","2,1 kg"
Laptops QWERTY,"HP 15-bw090nd","Alledaagse basistaken zijn geen probleem voor de HP 15-bw090nd, waar je ook bent. Zo werk je de boekhouding bij, struin je het internet af voor de beste deals en blijf je via Skype in contact met je familie aan de andere kant van het land. Deze laptop beschikt over 8 GB RAM, wat betekent dat je snel wisselt tussen programma's zonder dat de laptop hapert. Of je nou in de trein zit of aan de keukentafel werkt, het anti-glare-scherm voorkomt reflecties en schitteringen.","449,-","HP","2FM89EA#ABH","15,6 inch","1366 x 768 pixels","AMD A6 9220","AMD Radeon R4","None","8 GB","128 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) MPXQ2N/A Space Gray","Met de Apple MacBook Pro 13'' MPXQ2N/A Space Gray maak je de mooiste grafische ontwerpen op het heldere Retina scherm. Met een resolutie van 2880 x 1800 zie je de kleinste details en door het IPS paneel neem je ware kleuren vanuit elke hoek goed waar. Houd je werktempo er goed in, want met de PCIe SSD schijf start je programma's binnen enkele seconden op. De compacte behuizing is gemaakt van aluminium, waardoor deze laptop erg stevig is en tegen een stootje kan. Door zijn 13 inch formaat neem je hem gemakkelijk mee naar je opdrachtgever, waar je met de de MacBook Pro goed voor de dag komt.","1.379,-","Apple","MPXQ2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 None","Intel Iris Plus Graphics 640","None","8 GB","128 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Acer Aspire E15 E5-575G-78P0","Op de Acer Aspire E15 E5-575G-78P0 bewerk je foto's en video's of speel je eenvoudige games als Minecraft. De NVIDIA GTX 950M videokaart zorgt voor vloeiende bewegende beelden, zodat je zonder haperingen filmpjes monteert. Met de Core i7 processor werk je met meerdere zware programma's, zoals Photoshop en Final Cut Pro, tegelijkertijd. Bewaar je projecten op de 256 GB SSD, waarmee je de Aspire in ongeveer 15 seconden opstart. Op het IPS beeldscherm zie je natuurgetrouwe kleuren vanuit elke hoek, dus laat je collega's gerust meekijken naar je nieuwste creaties. Daarbij heb je dankzij het anti glare paneel ook nog eens geen last van weerspiegelingen en weerkaatsend licht.","749,-","Acer","NX.GLAEH.007","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce GTX 950M","2000 MB","8 GB","256 GB SSD","38,16 cm x 25,9 cm x 3,02 cm","2,39 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IKBN 80XL02NPMH","De Lenovo Ideapad 320-15IKBN 80XL02NPMH is een 15,6 inch laptop om thuis en op je werk foto's te bewerken, presentaties te maken en je website te beheren. De Core i5 processor is krachtig genoeg om met meerdere programma's tegelijkertijd te werken. Zo bewerk je afbeeldingen voor op je website terwijl je muziek streamt en bestanden downloadt. Grote bestanden, zoals films en grafische projecten delen? Via de usb c aansluiting is het mogelijk om bestanden van een paar GB in een paar seconden over te zetten op een extern apparaat. Je kleinere of tijdelijke documenten bewaar je op de 128 GB SSD schijf, waarmee je programma's en bestanden in enkele seconden opstart.","569,-","Lenovo","80XL02NPMH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Apple MacBook Air 13'' (2017) MQD42N/A","De Apple MacBook Air neem je overal mee naartoe om je mail te checken, je sheets bij te werken en films te kijken. Dankzij de lange batterijduur van ongeveer 12 uur ga je een dag op pad met je MacBook Air zonder hem te hoeven opladen. Met zijn compacte formaat van 13,3 inch past hij makkelijk in je tas. De Intel Core i5 processor is geschikt om soepel met meerdere programma's tegelijkertijd te werken. Klap je laptop open en ga meteen aan de slag, want de SSD schijf start je MacBook namelijk in 15 seconden op en opent je apps in een paar seconden.","1.229,-","Apple","MQD42N/A","13,3 inch","1440 x 900 pixels","Intel Core i5 5300U","Intel HD Graphics 6000","None","8 GB","256 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Acer Chromebook R13 CB5-312T-K5G1","De Acer Chromebook R13 CB5-312T-K5G1 is een laptop waarmee je altijd en overal in de cloud werkt. Door het Chrome OS besturingssysteem log je in met je Google account op deze laptop en vervolgens bewerk je in de cloud teksten of tabellen en grafieken. Omdat je data in de cloud opslaat, heb je genoeg aan de 32 GB aan flashgeheugen. Bovendien heb je overal toegang tot alle bestanden in de cloud zolang je bent ingelogd bij Google. Dus of je nu op kantoor bent of in een vergadering zit, de juiste bestanden heb je altijd binnen handbereik. Genoeg van al die tabellen en grafieken? Start de Netflix app op en kijk je favoriete serie in Full HD.","369,-","Acer","NX.GL4EH.002","13,3 inch","1920 x 1080 pixels","MediaTek MT8173 MT8173","Imagination GX6250","None","4 GB","32 GB Flash","32,6 cm x 22,8 cm x 1,55 cm","1,49 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2017) MPTT2N/A Space Gray","Op de Apple MacBook Pro 15'' Touch Bar MPTT2N/A Space Gray bewerk je foto's en video's met behulp van de Touch Bar. Dit is een interactief touchscreen dat toetsen en functies laat zien. Tijdens het bewerken van foto's kies je via de Touch Bar een filter of kleur en tijdens het typen verschijnen er woordsuggesties. Deze MacBook heeft met de Intel i7 Kaby Lake een sterkere processor, hierdoor werk je sneller met meerdere programma's tegelijkertijd. De Touch Bar ondersteunt ook Touch ID, een vingerafdrukscanner waarmee je inlogt en een online aankoop goedkeurt. De vier usb-c aansluitingen zijn geschikt om data over te zetten én deze ultieme eindbaas MacBook op te laden.","2.999,-","Apple","MPTT2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 None","AMD Radeon Pro 560","4000 MB","16 GB","512 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"Acer Aspire ES1-132-C0R8","De Acer Aspire ES1-132-C0R8 is een compact 11,6 inch laptop voor gebruikers die voornamelijk basistaken als het checken van mailtjes en het bijhouden van aantekeningen of de boekhouding uitvoeren. Met een formaat van 11,6 inch en een gewicht van 1,25 kg is de laptop eenvoudig mee te nemen of op te bergen. Je gaat in college snel aan de slag, want het 32 GB flash geheugen start de laptop in ongeveer 15 seconden op. Eenmaal thuis verbind je de laptop via bluetooth met je draadloze speakers en speel je zo je favoriete Spotify playlist af.","199,-","Acer","NX.GGLEH.009","11,6 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","32 GB Flash","29,1 cm x 21,1 cm x 2,1 cm","1,25 kg"
Laptops QWERTY,"Apple MacBook Pro Retina 15,4'' 256 GB","","2.098,-","Apple","MJLQ2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 4770HQ","Intel Iris Pro","None","16 GB","256 GB SSD","35,89 cm x 24,71 cm x 1,8 cm","2 kg"
Laptops QWERTY,"HP 15-bw091nd","De HP 15-bw091nd gebruik je thuis, op school en op je werk voor het bewerken van beeldmateriaal,  het maken van aantekeningen tijdens college en vergaderen via Skype. Lang wachten is verleden tijd, want de 128 GB SSD start de laptop en jouw programma's in ongeveer 15 seconden op. De A9 processor heeft genoeg rekenkracht; je werkt dus zonder zorgen met meerdere programma's tegelijk. Zo bewerk je video's dankzij de Radeon 520 videokaart terwijl je muziek streamt naar je bluetooth speakers. Al je bewerkte foto's, notulen en films bewaar je op de 1 TB harde schijf. Ook je filmcollectie blijft relevant, want je speelt ze af via de ingebouwde dvd speler.","599,-","HP","2FM90EA#ABH","15,6 inch","1920 x 1080 pixels","AMD A9 9420","AMD Radeon 520","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38 cm x 25,38 cm x 2,38 cm","2,1 kg"
Laptops QWERTY,"Acer Aspire 5 A515-51G-58NR","Gebruik de Acer Aspire 5 A515-51G-58NR thuis en op kantoor voor werkzaamheden zoals foto's en video's bewerken. Met de Core i5 processor werk je met grafische programma's, terwijl je websites bezoekt en muziek streamt. De NVIDIA 940MX zorgt voor de nodige grafische prestaties, waardoor je vloeiend je filmpjes in elkaar knutselt. Bewaar je projecten op de 256 GB SSD, waarmee je jouw Aspire binnen 15 seconden opstart. Zo ga je snel aan de slag wanneer je de laptop openklapt.","749,-","Acer","NX.GPDEH.001","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","256 GB SSD","38,16 cm x 26,3 cm x 2,16 cm","None"
Laptops QWERTY,"Acer Aspire 7 A715-71G-76Z5","De Acer Aspire 7 A715-71G-76Z5 is een 15,6 inch laptop voor gamers en grafisch ontwerpers. Dankzij de NVIDIA GeForce GTX 1050 videokaart speel je de nieuwste games op gemiddelde instellingen en heb je geen last van haperende beelden. De 256 GB PCIe SSD, die sneller is dan een gewone SSD en je programma's in een paar seconden opstart. Met de harde schijf van 1 TB heb je genoeg ruimte om je projecten te bewaren. Voer je veel taken tegelijkertijd uit? Dan zorgt het 16 GB werkgeheugen dat dit soepel verloopt, zonder dat je laptop daar moeite mee heeft. Het verlichte toetsenbord zorgt ervoor dat je ook in het donker ziet wat je doet.","1.149,-","Acer","NX.GP8EH.014","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38,16 cm x 26,28 cm x 2,39 cm","2,35 kg"
Laptops QWERTY,"Acer Aspire 7 A715-71G-70GD","Op de Acer Aspire 7 A715-71G-70GD speel je games op gemiddelde instellingen en voer je grafische taken uit. De NVIDIA GeForce GTX 1050 videokaart zorgt voor vloeiende bewegende beelden op het 15,6 inch Full HD beeldscherm. Deze laptop heeft een PCIe SSD schijf, waarmee je programma's en bestanden nog sneller opstart dan met een gewone SSD. Het IPS paneel zorgt voor levendige kleuren vanuit elke kijkhoek, wat fijn is tijdens het bewerken van foto's en video's. Daarnaast zorgt het anti glare paneel ervoor dat je minder last hebt van weerkaatsend licht. Doorwerken of gamen in het donker? Dankzij het verlichte toetsenbord zie je ook 's avonds goed wat je doet.","999,-","Acer","NX.GP8EH.011","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD","38,16 cm x 26,28 cm x 2,39 cm","2,35 kg"
Laptops QWERTY,"Lenovo Ideapad 520-15IKBR 81BF008MMH","Met de Lenovo Ideapad 520-15IKBR 81BF008MMH ga je thuis en op school aan de slag met het bewerken van foto's en het maken van presentaties. De Core i5 processor maakt deze laptop krachtig genoeg om meerdere programma's tegelijkertijd te draaien. Dus maak die zware Excel berekening terwijl je naar je favoriete muziek op Spotify luistert en bestanden downloadt. Het opstarten van je Ideapad duurt maar 15 seconden, dankzij de 256 GB SSD schijf. Het verlichte toetsenbord geeft je net even wat extra gemak in het donker, zodat je minder snel typfoutjes maakt. Ben je klaar met werken? Dan kijk je nog even een serie op het 15,6 inch IPS beeldscherm, dat levensechte kleuren vanuit elke kijkhoek weergeeft.","699,-","Lenovo","81BF008MMH","15,6 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel UHD Graphics 620","None","8 GB","256 GB SSD","37,8 cm x 26 cm x 2,2 cm","2,2 kg"
Laptops QWERTY,"HP 17-bs097nd","De HP 17-bs097nd is een laptop die je desktop vervangt en geschikt is voor basistaken, zoals e-mailen en het checken van je social media. Zet een presentatie in elkaar, doe de administratie of kijk een film op het 17,3 inch scherm, waarop je de ruimte hebt om met twee vensters naast elkaar te werken. De 128 GB SSD start je programma's in een paar seconden op, dus lang wachten is er niet meer bij. Heb je nog een grote verzameling dvd's? Dan komt de ingebouwde dvd speler goed van pas om zo ouderwets een klassieker op je laptop te kijken.","399,-","HP","2GS10EA#ABH","17,3 inch","1600 x 900 pixels","Intel Celeron N3060","Intel HD Graphics 400","4000 MB","4 GB","128 GB SSD","41,5 cm x 27,8 cm x 2,46 cm","2,5 kg"
Laptops QWERTY,"Acer Aspire 7 A717-71G-785Y","De Acer Aspire 7 A717-71G-785Y is een 17,3 inch desktopvervanger waarop je met zware grafische programma's foto's en video's bewerkt. Dankzij de NVIDIA GeForce GTX 1050Ti videokaart ga je aan de slag met het monteren en renderen van video's en speel je in je vrije tijd games als Overwatch op hoge instellingen. De PCIe SSD start je apps en games nog sneller op dan een normale SSD, waardoor je binnen een paar seconden aan een nieuw level begint. Bewaar je bestanden veilig, want deze laptop heeft een vingerafdrukscanner waarmee alleen jij toegang hebt tot je laptop. Of log in met je gezicht via Windows Hello voor extra veiligheid.","1.399,-","Acer","NX.GPGEH.003","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","42,33 cm x 28,99 cm x 2,83 cm","3 kg"
Laptops QWERTY,"Microsoft Surface Book - i7 - 16 GB - 512 GB","De Microsoft Surface Book is een 2-in-1 voor fotobewerking, videobewerking en zelfs het spelen van games. In deze Surface Book zit een NVIDIA GeForce GTX 965M verwerkt, waardoor je genoeg grafische kracht hebt. Lach een keer in de camera boven het scherm, en je logt automatisch in dankzij Windows Hello. Heb je het toetsenbord even niet nodig? Klik rechtsonder in de taakbalk en het beeldscherm wordt losgekoppeld zodat je het er eenvoudig uithaalt. Bedien vervolgens het touchscreen met je vingers of de meegeleverde Surface Pen. Heb je een mooi ontwerp gemaakt? Schuif het beeldscherm omgedraaid terug in het toetsenbord en laat het aan je collega's zien in de presentatie stand.","1.899,-","Microsoft","96D-00011","13,5 inch","3000 x 2000 pixels","Intel Core i7 6600U","NVIDIA GeForce GTX 965M","None","16 GB","512 GB SSD","31,2 cm x 23,2 cm x 2,28 cm","1,52 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IKBN 80XK00XBMH","De Lenovo Ideapad 320-14IKBN 80XK00XBMH gebruik je thuis en op kantoor om cijfers te analyseren in je sheets en foto's te bewerken. Multitasken is een makkie met de Core i5 processor, dus luister naar je favoriete muziek en update je website terwijl jij afbeeldingen opmaakt voor een presentatie. Je projecten meenemen of delen met je collega's? Via de usb c poort zet je grote bestanden binnen enkele seconden over op een extern apparaat. Met een formaat van 14 inch neem je de Ideapad makkelijk overal mee naartoe in je tas. Klap de laptop open op je plek van bestemming en ga meteen aan de slag, want de SSD start je laptop binnen 15 seconden op.","629,-","Lenovo","80XK00XBMH","14 inch","1366 x 768 pixels","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,83 cm x 24,99 cm x 2,27 cm","2 kg"
Laptops QWERTY,"Lenovo Yoga 520-14IKB 80X800LAMH","De Lenovo Yoga 520-14IKB 80X800LAMH is een laptop en tablet in één waarop je verslagen typt en surft op het web. Met het omklapbare beeldscherm zet je deze 2-in-1 in verschillende standen. Gebruik de Yoga als tablet en lees je e-mail onderweg in de trein. Schuif aan in de collegebanken en maak met Windows Ink aantekeningen alsof je op papier schrijft. Klap je laptop open en ga in 15 seconden aan de slag dankzij de SSD schijf. Via de usb c poort sluit je deze laptop makkelijk aan op een dockingstation. Even aan ontspanning toe? Kijk een film in de tentstand op het Full HD beeldscherm met IPS paneel. Hierop zie je natuurgetrouwe kleuren vanuit elke hoek, dus zak even lekker onderuit.","449,-","Lenovo","80X800LAMH","14 inch","1920 x 1080 pixels","Intel Pentium 4415U","Intel HD Graphics 610","None","4 GB","128 GB SSD","32,8 cm x 22,9 cm x 1,9 cm","1,7 kg"
